"Export of 100 tweets for claritin since:2018-03-17 until:2018-03-24 over a period of 1 day"
" "
"-- OVERVIEW DATA --"
"Total tweets",Timeframe,Reach,Impressions,"Total retweets","Total favourites","Total replies"
100,"1 day","2,264,139","4,853,968",13,148,22
" "
"-- SUMMARY DATA --"
"Tweet type",frequency,,Sentiment,frequency,,Language,frequency,,"Top contributors",frequency,,"Top influencers",frequency,,"Top words",frequency,,"Top hashtags",frequency,,"Top mentions",frequency,,"Top domains",frequency,,"Top urls",frequency,,"Top sources",frequency,,"Top profile countries",frequency,,"Top profile locations",frequency,,"Top geo countries",frequency,,"Top geo locations",frequency
"Plain tweets",75,,Great,14,,English,68,,innovuspharma,6,,socialstartnow,1021310,,claritin,51,,#ラクチンボイス,30,,@goppollanalyst,2,,goo.gl,34,,bit.ly/2FUPl6Z,9,,iPhone,43,,,,,"San Diego, CA",8,,"United States",4,,"Phoenix, AZ",1
Retweets,3,,Good,9,,日本語,31,,esunohito,3,,socialstocksnow,982042,,クラリチン♪,29,,#claritin,14,,@chxngona,1,,bit.ly,9,,goo.gl/AsJ6vc,2,,Android,19,,,,,USA,3,,,,,"Mississippi, USA",1
Replies,22,,Neutral,59,,"español, castellano",1,,socialstocksnow,2,,innovuspharma,116891,,fluticare,12,,#flonase,13,,@ihatemorgz,1,,twitter.com,3,,goo.gl/MQVYSA,1,,Web/Desktop,18,,,,,ウコンの羽織になりたい。,3,,,,,"Georgia, USA",1
Mentions,28,,Bad,12,,,,,maminoru18,2,,RandallGoulding,51477,,allergies,11,,#sneezing,12,,@thepussyologist,1,,tmog.uspto.gov,1,,goo.gl/o9PCq3,1,,"Sprout Social",12,,,,,"Los Angeles",2,,,,,"Eugene, OR",1
Pictures,15,,Terrible,6,,,,,MartinRedmonddd,2,,ihateMORGZ,30850,,$innv,11,,#allergyrelief,12,,@lexforchange,1,,,,,goo.gl/hhpvpJ,1,,TweetDeck,2,,,,,"I LOVE広島県!!",2,,,,,,
Videos,4,,,,,,,,socialstartnow,2,,FlutiCareOTC,10688,,take,7,,#respiratory,12,,@zaythesensei,1,,,,,twitter.com/desmulan/statu…,1,,iPad,2,,,,,"Playing in (the Information Highway's Virtual) Traffic",2,,,,,,
Links,47,,,,,,,,__AliyahB,2,,LaetansX,6915,,like,6,,#nose,12,,@xbad2_thebonezx,1,,,,,goo.gl/3SxEgj,1,,Tweetlogix,1,,,,,Brian@socialstartnow.com,2,,,,,,
Verified,1,,,,,,,,loveclaudiab,1,,RitaWirtz,6773,,try,6,,#allegra,12,,@sheriwr33361424,1,,,,,goo.gl/Wf6Bux,1,,"ツイタマ for Android",1,,,,,"sage &amp; wezi",1,,,,,,
Geolocated,0,,,,,,,,SFOGuard,1,,MissAmaLea,3966,,need,6,,#nasal,12,,@ghostie_dragons,1,,,,,goo.gl/hZKRGX,1,,Facebook,1,,,,,NY,1,,,,,,
,,,,,,,,,Iookjb,1,,jasonpwoodbury,3078,,get,6,,#symptoms,12,,@baileyjarrett5,1,,,,,goo.gl/RhRH4i,1,,"please retweet my tweets",1,,,,,諏訪部さんとのシンクロ率高過ぎで驚き,1,,,,,,
,,,,,,,,,tsutu2,1,,TimberlakeLaw,2783,,took,5,,#relief,12,,@tigershah26,1,,,,,goo.gl/2BoNN1,1,,,,,,,,"Houston, TX",1,,,,,,
,,,,,,,,,R214xoxoMellow2,1,,nikkisworldxxx,1893,,buy,5,,#zyrtec,11,,@vimtobaba,1,,,,,goo.gl/anRPqc,1,,,,,,,,まんなかあたり,1,,,,,,
,,,,,,,,,bad_garrett,1,,fantasy_camp,1773,,flonase,4,,#fluticare,11,,@xain_hs,1,,,,,twitter.com/steadycraig/st…,1,,,,,,,,"St. Louis, Mo",1,,,,,,
,,,,,,,,,mican_moon,1,,_JBadge_,1703,,few,4,,#thankmelater,1,,@kevinlferguson,1,,,,,goo.gl/ihrXm1,1,,,,,,,,"chasing destini™",1,,,,,,
,,,,,,,,,nikkisworldxxx,1,,turnotori,1699,,give,4,,#pollen,1,,@vivaladivatracy,1,,,,,goo.gl/rW9mek,1,,,,,,,,"Phoenix, AZ",1,,,,,,
,,,,,,,,,heybaldie,1,,isikdg,1556,,allergy,4,,#fml,1,,@bfolsom18,1,,,,,goo.gl/hLk6ZH,1,,,,,,,,下総の国,1,,,,,,
,,,,,,,,,yukiusapon,1,,sanjuniperos,1545,,save,4,,#whyyyyyme,1,,@lovemeloyalty19,1,,,,,goo.gl/ooG1qV,1,,,,,,,,フォローの前にツイフィール↓ご覧下さい,1,,,,,,
,,,,,,,,,jenjames923,1,,Iookjb,1204,,work,4,,#officiallymyhero,1,,@bennythejet55,1,,,,,goo.gl/a7EbCA,1,,,,,,,,wherethegrassingreener.,1,,,,,,
,,,,,,,,,desmulan,1,,Ishfromda5th,1201,,spring,4,,#goawaypollen,1,,@spidergweb,1,,,,,goo.gl/yaL1gS,1,,,,,,,,"Groznyj Grad",1,,,,,,
,,,,,,,,,baklavamammi,1,,__AliyahB,1011,,morning,3,,#leakyeyes,1,,@derrickjosi,1,,,,,goo.gl/TsvU7b,1,,,,,,,,"Miami, Florida, United States",1,,,,,,
,,,,,,,,,StephenDelear,1,,geekly_sneaks,987,,pill,3,,#stuffednose,1,,@jecashsymbol2x,1,,,,,goo.gl/Bz464m,1,,,,,,,,"PHX, the Grand Canyon State",1,,,,,,
,,,,,,,,,MissAmaLea,1,,_peaceoff30,935,,air,3,,#distinctiveness,1,,@blithevelour,1,,,,,goo.gl/brkGjV,1,,,,,,,,"Las Vegas, NV",1,,,,,,
,,,,,,,,,rei_kamihate,1,,itumogdgd,923,,dying,3,,#trademarks,1,,@simpsonsbracket,1,,,,,goo.gl/TnX1Q1,1,,,,,,,,"tkaronto, turtle island",1,,,,,,
,,,,,,,,,raaelexi,1,,R214xoxoMellow2,798,,taking,3,,#allergies,1,,@steviejukejoint,1,,,,,goo.gl/7P3H46,1,,,,,,,,"a happy house xotwod",1,,,,,,
,,,,,,,,,miiihs_ara113,1,,landraaaa,781,,i’m,3,,,,,@claritin,1,,,,,goo.gl/oYtPMv,1,,,,,,,,"Savage, MN",1,,,,,,
,,,,,,,,,BlkOnBothSides,1,,maminoru18,770,,already,3,,,,,@morningexp,1,,,,,twitter.com/cjacks98/statu…,1,,,,,,,,"North Chicago, IL/ Washington",1,,,,,,
,,,,,,,,,LauraLeaWatson1,1,,7717love,764,,it’s,3,,,,,@bobvandillen,1,,,,,goo.gl/M9zbR6,1,,,,,,,,愛知県,1,,,,,,
,,,,,,,,,GingeraleDragon,1,,esunohito,626,,more,3,,,,,,,,,,,goo.gl/dWKUuK,1,,,,,,,,"Where would u like me to be?",1,,,,,,
,,,,,,,,,realelijahrose,1,,crives1,599,,even,3,,,,,,,,,,,goo.gl/3GS2sG,1,,,,,,,,"Los Angeles, CA",1,,,,,,
,,,,,,,,,jasonpwoodbury,1,,jackoraptor,433,,though,3,,,,,,,,,,,goo.gl/N7Lijz,1,,,,,,,,918,1,,,,,,
,,,,,,,,,_peaceoff30,1,,tsutu2,386,,works,3,,,,,,,,,,,goo.gl/PExYkt,1,,,,,,,,"Indianapolis, IN",1,,,,,,
,,,,,,,,,tigerbano,1,,sakuragishun,381,,after,3,,,,,,,,,,,goo.gl/9sneNp,1,,,,,,,,あんすた沼,1,,,,,,
,,,,,,,,,BellysConsuela,1,,takutakubeee103,355,,any,3,,,,,,,,,,,goo.gl/P6QpGJ,1,,,,,,,,STL,1,,,,,,
,,,,,,,,,lostinjennifer,1,,renta55,341,,sprays,3,,,,,,,,,,,goo.gl/drWhHU,1,,,,,,,,"Univ of Mississippi",1,,,,,,
,,,,,,,,,RandallGoulding,1,,corndoglover100,337,,well,3,,,,,,,,,,,goo.gl/t79jsZ,1,,,,,,,,"running or watching baseball",1,,,,,,
,,,,,,,,,youM68,1,,daicolog,321,,come,3,,,,,,,,,,,goo.gl/8hLYjL,1,,,,,,,,"GODAWGS ❤️",1,,,,,,
,,,,,,,,,CWFrancis72,1,,Mi2c00000,271,,really,3,,,,,,,,,,,tmog.uspto.gov/#issueDate=201…,1,,,,,,,,"Montgomery, AL",1,,,,,,
,,,,,,,,,jackoraptor,1,,miiihs_ara113,271,,want,3,,,,,,,,,,,goo.gl/WjvYkL,1,,,,,,,,マジLOVEキングダム,1,,,,,,
,,,,,,,,,redbarron77,1,,diabolik0128,251,,season,3,,,,,,,,,,,,,,,,,,,,"Wilkes-Barre, PA",1,,,,,,
,,,,,,,,,athenahollow,1,,katybazarsky,230,,seasonal,3,,,,,,,,,,,,,,,,,,,,"Michigan, USA",1,,,,,,
" "
"-- TWEET DATA --"
"Created At","Screen Name",Handle,Tweet,Links,"Tweet Type",Language,Sentiment,Retweets,Favourites,Followers,Friends,Reach,"Retweet Rate (Tweets Per Minute)",Engagements,"Engagement Rate (% of Followers)",Source,Domain,URL,"Tweet Link","Pic Link","Retweeting User","Retweeting Handle","Profile Location","Country (Profile)","Location (Geo)","Country (Geo)","Tweet ID"
"Fri Mar 23 23:25:58 +0000 2018","Neil Barron ",redbarron77,"@jecashsymbol2x Nah that’s just the claritin kicking in",,Reply,en,0,0,1,85,405,1,0,1,1.18,iPhone,,,"https://twitter.com/Neil Barron /status/977325613693394944",https://pbs.twimg.com/profile_images/2053256781/Champs_normal.jpg,,,,STL,,,977325613693394944
"Fri Mar 23 23:25:38 +0000 2018","ルーナ 諏訪部さん&amp;跡部様☆🌹🌙❤️ ",7717love,"おや？今日はマスクをしなくて大丈夫なんですか？えっクラリチンを飲み始めた？先生、嬉しいです！これからは可愛い笑顔がマスクに隠れなくてすむんですね。花粉ラクチン クラリチン♪ goo.gl/TsvU7b #ラクチンボイス","https://goo.gl/TsvU7b Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,764,761,764,0,0,0,Web/Desktop,"goo.gl ","goo.gl/TsvU7b ","https://twitter.com/ルーナ 諏訪部さん&amp;跡部様☆🌹🌙❤️ /status/977325528725127168",https://pbs.twimg.com/profile_images/975397092163141632/umKshAyd_normal.png,,,,諏訪部さんとのシンクロ率高過ぎで驚き,,,977325528725127168
"Fri Mar 23 23:16:40 +0000 2018","Nikki’s World 😏 ",nikkisworldxxx,"My seasonal allergies are kicking my hurt today... so I’ll be available after 7pm tonight and not my usual schedule. Gotta give my Claritin some time to kick in 😩",,"Regular Tweet",en,-2,0,2,1893,264,1893,0,2,0.11,iPhone,,,"https://twitter.com/Nikki’s World 😏 /status/977323273766580224",https://pbs.twimg.com/profile_images/968097358230597633/NryIDsHR_normal.jpg,,,,"Phoenix, AZ",,,977323273766580224
"Fri Mar 23 23:06:01 +0000 2018","Innovus Pharma ",innovuspharma,"$INNV Waking up with stuffy from allergies? A few sprays of FlutiCare in the morning can give you a breath of fresh air! bit.ly/2FUPl6Z #fluticare #flonase #zyrtec #AllergyRelief #Respiratory #claritin #allegra #nasal #symptoms #relief #sneezing #nose pic.twitter.com/Wfe6lbj1wj","http://bit.ly/2FUPl6Z Twitter analytics for #fluticare Twitter analytics for #flonase Twitter analytics for #zyrtec Twitter analytics for #AllergyRelief Twitter analytics for #Respiratory Twitter analytics for #claritin Twitter analytics for #allegra Twitter analytics for #nasal Twitter analytics for #sneezing Twitter analytics for #nose https://twitter.com/innovuspharma/status/977320593627451392/photo/1","Regular Tweet",en,0,0,0,116891,30412,116891,0,0,0,"Sprout Social","bit.ly ","bit.ly/2FUPl6Z ","https://twitter.com/Innovus Pharma /status/977320593627451392",https://pbs.twimg.com/profile_images/968497000764395520/jrxreOdM_normal.jpg,,,,"San Diego, CA",,,977320593627451392
"Fri Mar 23 22:47:43 +0000 2018","みど ",diabolik0128,"ねぇ、ねぇ、いいこと教えてあげる。耳貸して！クラリチンは１日１回１錠でずっと効くのに眠くなりにくいんだって。大好きだよ。花粉ラクチン クラリチン♪ goo.gl/M9zbR6 #ラクチンボイス","https://goo.gl/M9zbR6 Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,251,170,251,0,0,0,Android,"goo.gl ","goo.gl/M9zbR6 ","https://twitter.com/みど /status/977315986184421376",https://pbs.twimg.com/profile_images/905006181600567296/aACuLnUc_normal.jpg,,,,,,,977315986184421376
"Fri Mar 23 22:33:11 +0000 2018","kazuco ",kazuco_33,"なんでずっと上を向いてるんですか？鼻水がたれそうですって？ふむ。キスするにはちょうどいい角度ですね。なんてね。ちゃんとクラリチン飲んでくださいね。花粉ラクチン クラリチン♪ goo.gl/o9PCq3 #ラクチンボイス","https://goo.gl/o9PCq3 Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,97,360,97,0,0,0,iPhone,"goo.gl ","goo.gl/o9PCq3 ","https://twitter.com/kazuco /status/977312330273861632",https://pbs.twimg.com/profile_images/465445003611742208/WS0bgSC3_normal.jpeg,,,,JAPAN,,,977312330273861632
"Fri Mar 23 22:26:45 +0000 2018","のわーるえごいすと💎⛏️💥 ",rn0329oOx,"レディが丸めたティッシュを鼻に詰めるのは、やめましょうね。鼻の穴が大きくなっちゃいますよ。花粉ラクチン クラリチン♪ goo.gl/hhpvpJ #ラクチンボイス","https://goo.gl/hhpvpJ Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,111,158,111,0,0,0,Web/Desktop,"goo.gl ","goo.gl/hhpvpJ ","https://twitter.com/のわーるえごいすと💎⛏️💥 /status/977310711863914496",https://pbs.twimg.com/profile_images/931918826660290560/mklalwWh_normal.jpg,,,,,,,977310711863914496
"Fri Mar 23 22:14:55 +0000 2018","✨MORGZ💋 ",ihateMORGZ,"I usually have Claritin too! I'm going to buy that today too. Thanks. twitter.com/desmulan/statu…",https://twitter.com/desmulan/status/977285749539311618,"Regular Tweet",en,2,0,2,30850,1027,30850,0,2,0.01,iPhone,"twitter.com ","twitter.com/desmulan/statu… ","https://twitter.com/✨MORGZ💋 /status/977307734235328512",https://pbs.twimg.com/profile_images/967249065670074368/nwjZmYYC_normal.jpg,,,,,,,977307734235328512
"Fri Mar 23 22:12:23 +0000 2018","Hugo Guardado ",SFOGuard,"My father bought the wrong kind of Claritin at Wal Mart. Has to wait fifteen days before he can buy more because “might” be making meth. Yet all over the country you can buy a gun with less restrictions even though you “might” end up killing other people...",,"Regular Tweet",en,1,0,0,28,121,28,0,0,0,iPhone,,,"https://twitter.com/Hugo Guardado /status/977307094595657728",https://pbs.twimg.com/profile_images/573091170156486656/QWtY81WU_normal.jpeg,,,,"Florida, USA",,,977307094595657728
"Fri Mar 23 22:07:45 +0000 2018","nini ",Iookjb,"WHEJEEEZE MY DAD BROIGHT ME CLARITIN",,"Regular Tweet",en,0,0,0,1204,232,1204,0,0,0,iPhone,,,"https://twitter.com/nini /status/977305928323227649",https://pbs.twimg.com/profile_images/977263572165292032/2pBfZKmc_normal.jpg,,,,,,,977305928323227649
"Fri Mar 23 22:06:03 +0000 2018","アオキ ",tsutu2,"花粉なんかに負けないでください。貴女ならきっと大丈夫だと先生は信じてますよ。今日も元気で行ってらっしゃい。花粉ラクチン クラリチン♪ goo.gl/3SxEgj",https://goo.gl/3SxEgj,"Regular Tweet",ja,0,0,0,386,162,386,0,0,0,Tweetlogix,"goo.gl ","goo.gl/3SxEgj ","https://twitter.com/アオキ /status/977305501993070592",https://pbs.twimg.com/profile_images/932020479841333248/G4CmtDVc_normal.jpg,,,,,,,977305501993070592
"Fri Mar 23 21:55:48 +0000 2018","みやび🍊🌸🌈🌟💛 ",R214xoxoMellow2,"ふふっいい子ですね。はじめはあんなに抵抗してたのに、もうすっかり慣れちゃったみたいですね、新しいクラリチンに。花粉ラクチン クラリチン♪ goo.gl/Wf6Bux #ラクチンボイス","https://goo.gl/Wf6Bux Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,798,1078,798,0,0,0,Web/Desktop,"goo.gl ","goo.gl/Wf6Bux ","https://twitter.com/みやび🍊🌸🌈🌟💛 /status/977302921401352192",https://pbs.twimg.com/profile_images/970592437075767296/zIo6dJG2_normal.jpg,,,,レンくんと諏訪部さん沼/鳳兄弟の出身地,,,977302921401352192
"Fri Mar 23 21:32:50 +0000 2018","Caleb Garrett ",bad_garrett,"@KevinLFerguson I think it's just like claritin, if you have major stuffed nose or hay fever symptoms from cats it would help those.",,Reply,en,0,0,1,784,1053,1,0,1,0.13,Android,,,"https://twitter.com/Caleb Garrett /status/977297139448602625",https://pbs.twimg.com/profile_images/3121468005/6788d519946d0ceb65ce86f4af2e0bd3_normal.jpeg,,,,NY,,,977297139448602625
"Fri Mar 23 21:27:16 +0000 2018","みきゃん ",mican_moon,"はぁはぁはぁ…間に合ってよかったです。もしかしたら、今、会いに来てくれるんじゃないかと思って、授業の途中でしたが、急いできました。テレパシーってやつですかね。会えて…良かったです…。花粉ラクチン クラリチン♪ goo.gl/hZKRGX #ラクチンボイス","https://goo.gl/hZKRGX Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,1,98,249,98,0,1,1.02,iPhone,"goo.gl ","goo.gl/hZKRGX ","https://twitter.com/みきゃん /status/977295742388772864",https://pbs.twimg.com/profile_images/899127018008199169/UzHTwPe5_normal.jpg,,,,,,,977295742388772864
